00:00:01,171 INFO  [com.debs.api.rest.ShippingInfoHandler] (http-executor-threads - 172) POST /cart/@self/shipping_info
00:00:01,173 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) passed para:remerge=***
00:00:01,173 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) passed para:calculationUsage=-1,-2,-3,-4,-5,-6,-7
00:00:01,173 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) ...found remoteState object jsessionId=0000YQ90V2UM2lcmRkA_cGEhDJw:17h4b2nck:authenticationId=55111126%2ct8qv%2bAYRDP1ylYhbTyhDTPX0QII%3d:userId=55111126:activityId=55111126%2c10701%2c0%2cnull%2c1407970778782%2c1407972578782%2cnull%2cnull%2cnull%2cnull%2cw0tZYwRdkkCjv5a0QOjl8%2fCoEhkeTCo4v58dROdP2ZBZ4YaYUXehnIulm%2fSfVOIafrQcOjeqYVUh%0angzWU6BCU%2fEP1OI%2bgJ6fakQ7srUg0FtYu5GbtYFsiN%2bjYetAhfpjgvPNSQwTwmNvPArdxuisugGK%0avkbYyh3jjzsJtLhaahU%3d:localJsessionId=dhynmP4zN6DnSSibcd1OLTMG.api01:api01:activePointer=%2d1%2c10701:persistent=9PdRUVC6ni2NepeZ5JLGsHAd0%2fs%3d%0a%3b2014%2d08%2d13+23%3a59%3a38%2e78%5f1367138859935%2d239013%5f10701:sessionEstablished=true:channel=iPhone-OS-0-0-1407970779-6200_0:anonymous=false:wcauthenticated=true:wcregistered=true:paymentInstruction:null:anonymousCart:nullanonymousPromoCodes:null
00:00:01,173 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) passed para:allocate=***
00:00:01,173 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) passed para:check=*n
00:00:01,173 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) passed para:shipModeId=15505
00:00:01,173 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) passed para:backorder=***
00:00:01,174 INFO  [com.debs.api.http.WCCookieHelper] (http-executor-threads - 172) [version: 0][name: WC_USERACTIVITY_55111126][value: 55111126%2c10701%2c0%2cnull%2c1407970778782%2c1407972578782%2cnull%2cnull%2cnull%2cnull%2cw0tZYwRdkkCjv5a0QOjl8%2fCoEhkeTCo4v58dROdP2ZBZ4YaYUXehnIulm%2fSfVOIafrQcOjeqYVUh%0angzWU6BCU%2fEP1OI%2bgJ6fakQ7srUg0FtYu5GbtYFsiN%2bjYetAhfpjgvPNSQwTwmNvPArdxuisugGK%0avkbYyh3jjzsJtLhaahU%3d][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,174 INFO  [com.debs.api.http.WCCookieHelper] (http-executor-threads - 172) ...done
00:00:01,174 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) ...passed WCTrustedToken
00:00:01,174 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) Checking authToken false,55111126%2ct8qv%2bAYRDP1ylYhbTyhDTPX0QII%3d
00:00:01,174 INFO  [com.debs.api.http.WCCookieHelper] (http-executor-threads - 172) Request cookies...
00:00:01,174 INFO  [com.debs.api.http.WCCookieHelper] (http-executor-threads - 172) [version: 0][name: JSESSIONID][value: 0000YQ90V2UM2lcmRkA_cGEhDJw:17h4b2nck][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,174 INFO  [com.debs.api.http.WCCookieHelper] (http-executor-threads - 172) [version: 0][name: WC_ACTIVEPOINTER][value: %2d1%2c10701][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,174 INFO  [com.debs.api.http.WCCookieHelper] (http-executor-threads - 172) [version: 0][name: WC_AUTHENTICATION_55111126][value: 55111126%2ct8qv%2bAYRDP1ylYhbTyhDTPX0QII%3d][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,174 INFO  [com.debs.api.http.WCCookieHelper] (http-executor-threads - 172) [version: 0][name: WC_PERSISTENT][value: 9PdRUVC6ni2NepeZ5JLGsHAd0%2fs%3d%0a%3b2014%2d08%2d13+23%3a59%3a38%2e78%5f1367138859935%2d239013%5f10701][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,174 INFO  [com.debs.api.http.WCCookieHelper] (http-executor-threads - 172) [version: 0][name: WC_SESSION_ESTABLISHED][value: true][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,175 INFO  [com.debs.api.rest.commerce.AbstractWCSimpleHandler] (http-executor-threads - 172) no internal parameters
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) postFieldsInBody:true for https://www.debenhams.com/webapp/wcs/stores/servlet/AjaxOrderChangeServiceShipInfoUpdate
00:00:01,175 INFO  [com.debs.api.http.DebHttpClient] (http-executor-threads - 172) returning instance of httpclient object
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) Request cookie before execution ----[version: 0][name: JSESSIONID][value: 0000YQ90V2UM2lcmRkA_cGEhDJw:17h4b2nck][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) Request cookie before execution ----[version: 0][name: WC_ACTIVEPOINTER][value: %2d1%2c10701][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) Request cookie before execution ----[version: 0][name: WC_AUTHENTICATION_55111126][value: 55111126%2ct8qv%2bAYRDP1ylYhbTyhDTPX0QII%3d][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) Request cookie before execution ----[version: 0][name: WC_PERSISTENT][value: 9PdRUVC6ni2NepeZ5JLGsHAd0%2fs%3d%0a%3b2014%2d08%2d13+23%3a59%3a38%2e78%5f1367138859935%2d239013%5f10701][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) Request cookie before execution ----[version: 0][name: WC_SESSION_ESTABLISHED][value: true][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) Request cookie before execution ----[version: 0][name: WC_USERACTIVITY_55111126][value: 55111126%2c10701%2c0%2cnull%2c1407970778782%2c1407972578782%2cnull%2cnull%2cnull%2cnull%2cw0tZYwRdkkCjv5a0QOjl8%2fCoEhkeTCo4v58dROdP2ZBZ4YaYUXehnIulm%2fSfVOIafrQcOjeqYVUh%0angzWU6BCU%2fEP1OI%2bgJ6fakQ7srUg0FtYu5GbtYFsiN%2bjYetAhfpjgvPNSQwTwmNvPArdxuisugGK%0avkbYyh3jjzsJtLhaahU%3d][domain: www.debenhams.com][path: /][expiry: null]
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) post invoked with URL: https://www.debenhams.com/webapp/wcs/stores/servlet/AjaxOrderChangeServiceShipInfoUpdate
00:00:01,175 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) parameters...
00:00:01,176 INFO  [com.debs.api.http.DebHttpInvoker] (http-executor-threads - 172) calculationUsage=-1,-2,-3,-4,-5,-6,-7
